47,9792,7792
10,3250,1208
13,1500,4125
12,1125,1333
17,1541,5667
14,1041,1292
18,1708,6041
16,1084,9584
18,1792,6375
18,1750,1042
19,2625,4833
20,875,875
20,1417,5500
22,917,917
21,1291,5875
25,875,875
22,1667,6208
26,1041,1042
23,1584,8458
27,1084,1833
24,1583,5667
28,1083,1125
25,1709,8083
29,1542,1000
26,1542,6333
30,1166,1125
27,1667,8334
31,1833,1000
28,1542,6917
32,1166,1042
29,1875,7208
33,1209,1125
30,1708,7083
34,1292,1042
31,1834,7792
35,1208,1125
32,8792,19750
36,2917,1583
33,12458,8625
37,1500,1208
34,1792,8625
38,1500,1375
