1001,117708,3153292
1002,37083,1538833
1003,35458,1429875
1004,53875,217083
1005,34125,210375
1006,32750,289875
1007,32250,213125
1008,31375,225166
1009,32042,222125
1010,32083,224000
1011,31584,234500
1012,32167,209791
1013,32250,217041
1014,64959,210916
1015,32250,220167
1016,32459,214792
1017,32584,219917
1018,31208,198792
1019,32167,189625
1020,30750,189000
1021,31792,189041
1022,30834,189417
1023,31209,233375
1024,31333,188333
1025,31333,187042
1026,30917,193625
1027,32541,198500
1028,32042,196417
1029,32667,206125
1030,32541,198875
1031,33167,197750
1032,32709,196208
1033,32458,199166
1034,31833,199917
1035,32125,198375
1036,32084,235708
1037,33125,199333
1038,32917,206833
1039,32334,201792
1040,32125,209208
1041,33292,200750
1042,32709,215584
1043,33250,208166
1044,32459,235834
1045,32417,210083
1046,32417,204791
1047,32292,205541
1048,33166,212167
1049,31834,206084
1050,33167,205167
1051,33209,185584
1052,32708,188375
1053,42417,192709
1054,33959,191875
1055,32542,191541
1056,40958,243833
1057,32750,192292
1058,33792,190125
1059,33417,187833
1060,33292,190125
1061,32917,181500
1062,31208,180375
1063,42084,196791
1064,34375,192208
1065,32875,187208
1066,34500,193625
1067,33334,194959
1068,33541,197417
1069,33125,203833
1070,32209,189625
1071,33416,1719833
1072,34125,189583
1073,32584,187000
1074,32917,184792
1075,32041,190584
1076,34375,196334
1077,33792,183542
1078,32959,183791
1079,31625,188875
1080,31292,170500
1081,32500,173917
1082,32500,187625
1083,31458,178250
1084,33500,180625
1085,34250,180292
1086,33375,178416
1087,34292,179834
1088,32541,182500
1089,34000,201584
1090,33250,199333
1091,34041,198584
1092,33833,184917
1093,32916,177459
1094,34917,187375
1095,33875,180250
1096,34375,186292
1097,33666,183000
1098,34000,179958
1099,34083,184875
1100,37500,184417
1101,34208,183834
1102,13291,185875
1103,9541,199792
1104,9625,202042
1105,9667,206166
1106,9542,195125
1107,9583,187417
1108,9541,187334
1109,9667,187208
1110,9583,188125
1111,9625,192042
1112,9583,188666
1113,9542,189125
1114,9667,188375
1115,10042,190875
1116,9625,189666
1117,9583,188833
1118,9583,190500
1119,10083,190625
1120,9792,189833
1121,9791,189084
1122,9416,190542
1123,9709,191500
1124,9708,193041
1125,9708,191709
1126,9667,193584
1127,9792,193667
1128,9791,193375
1129,9750,194041
1130,10250,194625
1131,9834,195500
1132,9791,199417
1133,10167,217750
1134,9833,212000
1135,9583,209875
1136,9542,194833
1137,9541,191459
1138,10125,196958
1139,10083,194125
1140,10125,195042
1141,9959,194416
1142,10125,196167
1143,10166,195042
1144,10334,197000
1145,10041,225584
1146,10292,225208
1147,9958,225542
1148,10167,223208
1149,10250,278792
1150,9875,220833
1151,9583,218209
1152,10208,217417
1153,9667,222750
1154,9625,216125
1155,9625,220250
1156,9625,226416
1157,9667,224000
1158,9792,230583
1159,10042,251208
1160,32417,233541
1161,10584,221667
1162,10250,233166
1163,10459,223209
1164,10000,226209
1165,10042,228333
1166,10417,264459
1167,10083,231625
1168,10041,237792
1169,10042,232958
1170,10084,239500
1171,10083,232666
1172,10041,234042
1173,10708,236833
1174,10167,235875
1175,10125,237333
1176,10209,234583
1177,10125,249000
1178,10125,235583
1179,10250,250666
1180,10167,236375
1181,10292,236417
1182,10166,235625
1183,10209,235334
1184,10250,287583
1185,10208,235708
1186,10333,232125
1187,16041,228375
1188,10792,241083
1189,10334,233250
1190,10666,248333
1191,10333,239041
1192,10291,240208
1193,10417,243583
1194,10459,261291
1195,10250,241000
1196,10375,241916
1197,10459,236666
1198,10792,241667
1199,10417,241792
1200,28792,243459
1201,10459,257625
1202,10125,236792
1203,10083,236917
1204,10125,239500
